"11.15","Organizacion Industrial",7
"12.01","Quimica I",1
"12.83","Seguridad Ocupacional y Ambiental",9
"21.32","Tecnologia de Mat. Electricos",5
"21.45","Eficiencia Energética",9
"21.65","Instalaciones Electricas y Luminotecnia",8
"21.71","Electrotecnia I",5
"21.72","Mantenimiento de Máquinas e Instalaciones Eléctricas",10
"21.73","Energias Alternativas",10
"21.74","Instrumentos y Mediciones Eléctricas",6
"21.79","Electrotecnia II",7
"21.80","Maquinas Electricas I",6
"21.81","Maquinas Electricas II",7
"21.82","Centrales Electricas",8
"21.83","Transmision de la Energia Electrica",8
"21.84","Proyecto Final",9
"21.85","Sistemas Electricos de Potencia",9
"21.86","Diseño de Lineas de Transmision y Estaciones Transformadoras",9
"21.87","Mercado Electrico",10
"21.88","Distribucion de la Energia Electrica",10
"22.06","Introduccion a la Computacion",1
"22.07","Programacion I",2
"22.08","Algoritmos y Estructura de Datos",5
"22.20","Electronica General",6
"22.28","Electronica de Potencia",9
"22.37","Fundamentos de Electromagnetismo",6
"22.42","Laboratorio de Electronica",6
"22.58","Instrumentación y control",7
"31.08","Sistemas de Representacion",2
"31.19","Estatica y Resistencia de Materiales",3
"31.21","Termodinamica",4
"31.24","Mecanica de Fluidos",6
"31.27","Mecanismos y Elementos de Maquinas",6
"31.38","Turbomaquinas",7
"61.23","Economia para Ingenieros",8
"61.31","Derecho para Ingenieros",10
"93.02","Matematica II",2
"93.03","Matematica III",3
"93.07","Metodos Numericos",4
"93.17","Matematica I",1
"93.18","Algebra Lineal",1
"93.24","Probabil.y Estadistica(k/s)",3
"93.41","Fisica I",2
"93.42","Fisica II",3
"93.43","Fisica III",4
"93.44","Fisica IV",5
"93.65","Matemática IV",4
"94.21","Formacion General I",2
"94.23","Formacion General III",8
"94.24","Metodologia del Aprendizaje",4
"95.01","Practica Laboral",10
