"11.15","Organizacion Industrial",5
"11.36","Innovaciòn y Competitividad",0
"11.91","Metodologia de Investigacion",0
"12.01","Quimica I",3
"12.83","Seguridad Ocupacional y Ambiental",7
"14.03","Gestion de la Innovacion",0
"14.23","Diagnostico del Riesgo Operativo",0
"14.33","Identificación de Distribución de Probabilidad",0
"14.34","Modelos Avanzados de Regresión",0
"14.35","Modelos Scoring",0
"14.37","Analisis de Encuestas",0
"14.38","Estructura Tributaria Argentina",0
"14.40","Ingeniería y Cambio Climatico",0
"16.34","Electromedicina",9
"16.35","Dispositivos Bioelectronicos",10
"16.37","Biologia para Ingenieros",9
"16.39","Interfaces Bioelectrónicas",9
"16.42","Fisiología Cuantitativa",10
"21.73","Energias Alternativas",0
"22.01","Teoria de Circuitos",6
"22.02","Electrotecnia I",5
"22.05","Anal.de Señales y Sist.digit.",7
"22.06","Introduccion a la Computacion",1
"22.07","Programacion I",2
"22.08","Algoritmos y Estructura de Datos",3
"22.12","Electronica II",7
"22.13","Electronica III",6
"22.14","Electronica IV",9
"22.15","Electronica V",9
"22.21","Electromagnetismo",8
"22.22","Antenas y Radiopropagacion",10
"22.28","Electronica de Potencia",9
"22.29","Microondas",9
"22.31","Diseño de Equipos Electronicos",9
"22.33","Microelectronica",0
"22.33","Microelectronica",8
"22.37","Fundamentos de Electromagnetismo",8
"22.42","Laboratorio de Electronica",6
"22.45","Redes Neuronales",9
"22.46","Procesamiento Adaptativo de Señales",9
"22.47","Procesamiento de Voz",10
"22.48","Procesamiento de Imagenes",10
"22.49","Laboratorio de Dsp_fpga",10
"22.53","Tecnología de materiales electrónicos",4
"22.59","Electrónica I",6
"22.61","Transmision de la Informacion",8
"22.64","Comunicaciones Digitales",9
"22.66","Redes Digitales",10
"22.67","Señales Aleatorias",7
"22.85","Sistemas de Control",8
"22.88","Sensores y Actuadores",9
"22.90","Automacion Industrial",10
"22.92","Fundamentos de la Teoría de Control",0
"22.93","Control Automatico",10
"22.95","Matería de Focalización con autorización de la Sra. Directora del Departamento",0
"22.99","Lab. de Microprocesadores",8
"31.08","Sistemas de Representacion",1
"31.81","Tecnologia de Maquinas",9
"31.99","Mecatronica Aplicada",10
"41.02","Geologia para Ingenieros",0
"61.23","Economia para Ingenieros",10
"61.23","Economia para Ingenieros",8
"61.32","Derecho para Ingenieros",10
"61.32","Derecho para Ingenieros",8
"61.82","Macroeconomia",0
"93.02","Matematica II",2
"93.03","Matematica III",3
"93.16","Matematica Discreta",2
"93.17","Matematica I",1
"93.18","Algebra Lineal",1
"93.24","Probabil.y Estadistica(k/s)",4
"93.41","Fisica I",2
"93.42","Fisica II",3
"93.43","Fisica III",4
"93.44","Fisica IV",5
"93.47","Fisica IV (Electronicos)",0
"93.54","Metodos Numericos ( K )",5
"93.57","Matematica V ( K )",5
"93.65","Matemática IV",4
"94.21","Formacion General I",2
"94.23","Formacion General III",0
"94.24","Metodologia del Aprendizaje",1
"94.28","Formacion General II",0
"94.29","Formacion para Emprendedores",0
"94.42","Comunicacion Estrategica",0
"94.52","Ingles II (Ingeniero)",10
"95.01","Practica Laboral",10
