"11.83","Gestion de Operaciones",5
"11.84","Gestion de Proyectos",6
"11.85","Toma de Decisiones",6
"61.12","Gestion Financiera",4
"61.40","Economia y Finanzas Internacionales",7
"61.81","Microeconomía",3
"61.82","Macroeconomia",4
"61.90","Derecho Publico y Privado",4
"61.92","Derecho Aduanero",8
"71.80","Utilitarios en Informatica",1
"71.85","Programacion",2
"71.88","Gestion de Datos",4
"81.02","Introduccion a la Licenciatura en Adm y Sistemas",1
"81.07","Sistemas Contables",1
"81.08","Aplicacion de las Telecomunicaciones",2
"81.11","Contabilidad Gerencial",3
"81.20","Comercializacion",4
"81.21","Gestion de Ventas",5
"81.23","Comercio Electronico",8
"81.25","Impuestos",8
"81.26","Comercio Exterior",7
"81.30","Analisis y Modelado de Procesos de Negocios",5
"81.31","Analisis y Diseño de Aplicaciones Informaticas",6
"81.36","Sistemas Integrados de Gestion Empresaria II",6
"81.38","Integracion de Procesos de Negocios y Aplic Inf",8
"81.39","Sistemas Integrados de Gestion Empresaria I",5
"81.41","Estrategia Empresaria",7
"81.45","Seminario de Actualizacion",8
"81.46","Auditoria General y de Sistemas",7
"81.52","Negocios y Tecnologia en Internet",3
"81.55","Diagnostico Empresario y Plan de Accion ( Trabajo Final )",8
"81.56","Arquitectura de la Tecnologia Informática",7
"81.60","Sistemas Integrados de Gestion en la Ind de Serv",7
"81.61","Modelado Avanzado de Proc e Intelig de Neg",8
"81.63","Marketing Internacional",7
"81.64","Gestión y Sistemas de Información de la Logistica Internacional",8
"93.20","Analisis Matematico",2
"93.21","Algebra",1
"93.39","Estadistica",3
"94.10","Formacion para Emprendedores",7
"94.40","Estructura de las Organizaciones",5
"94.41","Gestion de los Recursos Humanos",6
"94.60","Panorama Historico Global",2
"94.61","Filosofia",2
"94.62","Etica en los Negocios",3
"94.63","Epistemologia y Heuristica",4
"94.90","Inglés I (analista)",4
