"11.15","Organizacion Industrial",0
"11.35","Gestion de Proyectos Tecnologicos",0
"11.73","Teoria de la Decision",0
"12.01","Quimica I",1
"12.02","Quimica II",2
"12.46","Introduccion Al Proceso de Fabricacion de Aceros",0
"12.84","Introduccion a la Ingenieria Ambiental",0
"21.08","Electrotecnia",5
"22.20","Electronica General",8
"22.56","Sensores y Actuadores",0
"22.73","Instrumentacion y Control Industrial",9
"30.07","Elementos Finitos I",7
"30.11","Ensayos No Destructivos",0
"30.14","Mecánica de Fluidos Computacional",0
"31.04","Elementos de Maquinas",8
"31.08","Sistemas de Representacion",1
"31.16","Ensayo de Materiales",5
"31.20","Diseño Mecanico",3
"31.21","Termodinamica",5
"31.26","Mecanica de Fluidos",6
"31.30","Materiales Polimericos",0
"31.34","Estatica",4
"31.35","Resistencia de Materiales",6
"31.36","Metalurgia Fisica I",0
"31.37","Transferencia de Calor",0
"31.92","Elementos Finitos II",8
"31.94","Tecnologia de Materiales Compuestos",0
"32.52","Maquinas Marinas I",8
"32.53","Maquinas Marinas II",9
"32.54","Construccion Naval",8
"32.55","Estructura de Buques I",9
"32.56","Alistamiento Naval",7
"32.57","Proyecto de Buques",10
"32.64","Plantas Propulsoras Marinas",10
"32.66","Hidrostática y Estabilidad",6
"32.67","Resistencia y Propulsión",7
"32.68","Astilleros y Mantenimiento de Buques",7
"32.70","Embarque",9
"32.80","Practica Laboral",9
"61.23","Economia para Ingenieros",9
"61.31","Derecho para Ingenieros",7
"71.55","Informatica General",2
"71.57","Introduccion a la Programacion",3
"93.02","Matematica II",2
"93.03","Matematica III",3
"93.17","Matematica I",1
"93.18","Algebra Lineal",1
"93.22","Prob.y Estadistica(i/m/q)",6
"93.38","Matematica V",5
"93.41","Fisica I",2
"93.42","Fisica II",3
"93.43","Fisica III",4
"93.44","Fisica IV",5
"93.51","Mecanica General",4
"93.65","Matemática IV",4
"93.66","Métodos Numéricos (M)",6
"94.10","Formacion para Emprendedores",0
"94.21","Formacion General I",1
"94.23","Formacion General III",0
"94.24","Metodologia del Aprendizaje",2
"94.61","Filosofia",0
"94.62","Etica en los Negocios",0
