"11.10","Organizacion de la Produccion I",0
"11.15","Organizacion Industrial",7
"11.58","Dinamica de Sistemas",0
"11.68","Estadistica Superior",0
"11.73","Teoria de la Decision",0
"12.01","Quimica I",1
"12.02","Quimica II",2
"12.30","Industrializacion y Economia Petrolera",10
"12.34","Quimica Organica para Petroleo",5
"12.47","Control de Procesos/Laboratorio de Control de Procesos",0
"12.83","Seguridad Ocupacional y Ambiental",9
"21.06","Electrotecnia",5
"21.07","Maquinas e Instalaciones Electricas",6
"31.08","Sistemas de Representacion",1
"31.16","Ensayo de Materiales",0
"31.19","Estatica y Resistencia de Materiales",3
"31.21","Termodinamica",6
"31.22","Mecanica de Fluidos",5
"31.30","Materiales Polimericos",0
"31.45","Materiales Industriales II",0
"41.03","Perforacion Petrolera I",6
"41.04","Perforacion Petrolera II",7
"41.05","Geologia del Petroleo",8
"41.08","Petrofisica y Fluidos de Reservorios",6
"41.09","Ingenieria de Reservorios",7
"41.10","Recuperacion Asistida de Petr.",8
"41.12","Proyecto de Instalaciones de Superficie",9
"41.15","Gas y Gasolina Natural",10
"41.16","Analisis de Transientes de Presion",7
"41.18","Geofisica de Reservorios",8
"41.19","Desarrollo de Negocios",10
"41.21","Practica de Campo I",0
"41.21","Practica de Campo I",7
"41.22","Practica de Campo II",0
"41.22","Practica de Campo II",9
"41.24","Registros de Pozo",7
"41.25","Terminacion y Reparacion de Pozos de Petroleo y Gas",8
"41.27","Produccion de Petroleo",8
"41.29","Geoestadistica",0
"41.32","Geología para Ingenieros",5
"41.33","Materiales para la Industria Petrolera",4
"41.34","Desarrollo de Yacimientos",9
"41.35","Simulacion de Reservorios",9
"41.36","Operaciones Offshore - Petróleo y LNG",0
"41.37","Análisis Geomecánica de Cuencas Petroleras",0
"41.38","Evaluación de Proyectos de la Industria Petrolera",9
"41.39","Evaluación de Formaciones con Registros de Pozo Abierto y Entubado",0
"41.44","Fluidos de Perforación",0
"41.97","Trabajo de Investigacion Dirigido en Petroleo",0
"61.10","Economia Internacional",0
"61.23","Economia para Ingenieros",8
"61.31","Derecho para Ingenieros",9
"61.50","Finanzas de la Empresa",0
"61.82","Macroeconomia",0
"71.55","Informatica General",2
"71.56","Programacion Basica",3
"93.02","Matematica II",2
"93.03","Matematica III",3
"93.07","Metodos Numericos",6
"93.17","Matematica I",1
"93.18","Algebra Lineal",1
"93.22","Prob.y Estadistica(i/m/q)",4
"93.38","Matematica V",0
"93.41","Fisica I",2
"93.42","Fisica II",3
"93.43","Fisica III",4
"93.44","Fisica IV",5
"93.51","Mecanica General",4
"93.65","Matemática IV",4
"94.21","Formacion General I",1
"94.23","Formacion General III",0
"94.24","Metodologia del Aprendizaje",2
"94.29","Formacion para Emprendedores",0
"94.42","Comunicacion Estrategica",0
"94.51","Ingles I (Bachiller)",6
"94.52","Ingles II (Ingeniero)",10
